{'crystal': 124, 'rot': 1, 'center_x': 559, 'center_y': 1125}
{'crystal': 125, 'rot': 1, 'center_x': 992, 'center_y': 1047}
{'crystal': 126, 'rot': 1, 'center_x': 603, 'center_y': 1188}
{'crystal': 127, 'rot': 1, 'center_x': 473, 'center_y': 1037}
{'crystal': 128, 'rot': 1, 'center_x': 992, 'center_y': 783}
{'crystal': 129, 'rot': 1, 'center_x': 633, 'center_y': 1078}
{'crystal': 130, 'rot': 1, 'center_x': 930, 'center_y': 450}
{'crystal': 131, 'rot': 1, 'center_x': 706, 'center_y': 1215}
{'crystal': 132, 'rot': 1, 'center_x': 443, 'center_y': 610}
{'crystal': 133, 'rot': 1, 'center_x': 905, 'center_y': 892}
{'crystal': 134, 'rot': 1, 'center_x': 783, 'center_y': 900}
{'crystal': 135, 'rot': 1, 'center_x': 761, 'center_y': 1129}
{'crystal': 136, 'rot': 1, 'center_x': 487, 'center_y': 761}
{'crystal': 137, 'rot': 1, 'center_x': 708, 'center_y': 1055}
{'crystal': 138, 'rot': 1, 'center_x': 908, 'center_y': 857}
{'crystal': 139, 'rot': 1, 'center_x': 875, 'center_y': 531}
{'crystal': 140, 'rot': 1, 'center_x': 834, 'center_y': 793}
{'crystal': 141, 'rot': 1, 'center_x': 516, 'center_y': 657}
{'crystal': 142, 'rot': 1, 'center_x': 870, 'center_y': 1163}
{'crystal': 143, 'rot': 1, 'center_x': 683, 'center_y': 667}
{'crystal': 144, 'rot': 1, 'center_x': 670, 'center_y': 477}
{'crystal': 145, 'rot': 1, 'center_x': 650, 'center_y': 695}
{'crystal': 146, 'rot': 1, 'center_x': 818, 'center_y': 959}
{'crystal': 147, 'rot': 1, 'center_x': 502, 'center_y': 1038}
{'crystal': 148, 'rot': 1, 'center_x': 1001, 'center_y': 632}
{'crystal': 149, 'rot': 1, 'center_x': 1024, 'center_y': 574}
{'crystal': 150, 'rot': 1, 'center_x': 640, 'center_y': 548}
{'crystal': 151, 'rot': 1, 'center_x': 861, 'center_y': 832}
{'crystal': 152, 'rot': 1, 'center_x': 686, 'center_y': 1196}
{'crystal': 153, 'rot': 1, 'center_x': 1027, 'center_y': 697}
{'crystal': 154, 'rot': 1, 'center_x': 711, 'center_y': 535}
{'crystal': 155, 'rot': 1, 'center_x': 803, 'center_y': 1162}
{'crystal': 156, 'rot': 1, 'center_x': 450, 'center_y': 478}
{'crystal': 157, 'rot': 1, 'center_x': 588, 'center_y': 755}
{'crystal': 158, 'rot': 1, 'center_x': 651, 'center_y': 928}
{'crystal': 159, 'rot': 1, 'center_x': 999, 'center_y': 566}
{'crystal': 160, 'rot': 1, 'center_x': 703, 'center_y': 1080}
{'crystal': 161, 'rot': 1, 'center_x': 653, 'center_y': 525}
{'crystal': 162, 'rot': 1, 'center_x': 492, 'center_y': 790}
{'crystal': 163, 'rot': 1, 'center_x': 909, 'center_y': 822}
{'crystal': 164, 'rot': 1, 'center_x': 525, 'center_y': 853}
{'crystal': 165, 'rot': 1, 'center_x': 855, 'center_y': 625}
{'crystal': 166, 'rot': 1, 'center_x': 883, 'center_y': 601}
{'crystal': 167, 'rot': 1, 'center_x': 591, 'center_y': 1188}
{'crystal': 168, 'rot': 1, 'center_x': 792, 'center_y': 762}
{'crystal': 169, 'rot': 1, 'center_x': 875, 'center_y': 917}
{'crystal': 170, 'rot': 1, 'center_x': 714, 'center_y': 468}
{'crystal': 171, 'rot': 1, 'center_x': 670, 'center_y': 888}
{'crystal': 172, 'rot': 1, 'center_x': 699, 'center_y': 1190}
{'crystal': 173, 'rot': 1, 'center_x': 441, 'center_y': 1019}
{'crystal': 174, 'rot': 1, 'center_x': 1033, 'center_y': 1076}
{'crystal': 175, 'rot': 1, 'center_x': 977, 'center_y': 512}
{'crystal': 176, 'rot': 1, 'center_x': 745, 'center_y': 846}
{'crystal': 177, 'rot': 1, 'center_x': 709, 'center_y': 759}
{'crystal': 178, 'rot': 1, 'center_x': 451, 'center_y': 1193}
{'crystal': 179, 'rot': 1, 'center_x': 760, 'center_y': 935}
{'crystal': 180, 'rot': 1, 'center_x': 575, 'center_y': 539}
{'crystal': 181, 'rot': 1, 'center_x': 643, 'center_y': 587}
{'crystal': 182, 'rot': 1, 'center_x': 784, 'center_y': 962}
{'crystal': 183, 'rot': 1, 'center_x': 1019, 'center_y': 676}
{'crystal': 184, 'rot': 1, 'center_x': 996, 'center_y': 1055}
{'crystal': 185, 'rot': 1, 'center_x': 672, 'center_y': 581}
{'crystal': 186, 'rot': 1, 'center_x': 843, 'center_y': 836}
{'crystal': 187, 'rot': 1, 'center_x': 642, 'center_y': 543}
{'crystal': 188, 'rot': 1, 'center_x': 927, 'center_y': 1052}
{'crystal': 189, 'rot': 1, 'center_x': 530, 'center_y': 1048}
{'crystal': 190, 'rot': 1, 'center_x': 1012, 'center_y': 1002}
{'crystal': 191, 'rot': 1, 'center_x': 799, 'center_y': 839}
{'crystal': 192, 'rot': 1, 'center_x': 864, 'center_y': 501}
{'crystal': 193, 'rot': 1, 'center_x': 869, 'center_y': 1016}
{'crystal': 194, 'rot': 1, 'center_x': 572, 'center_y': 713}
{'crystal': 195, 'rot': 1, 'center_x': 932, 'center_y': 996}
{'crystal': 196, 'rot': 1, 'center_x': 780, 'center_y': 1073}
{'crystal': 197, 'rot': 1, 'center_x': 957, 'center_y': 812}
{'crystal': 198, 'rot': 1, 'center_x': 974, 'center_y': 1213}
{'crystal': 199, 'rot': 1, 'center_x': 811, 'center_y': 470}
{'crystal': 200, 'rot': 1, 'center_x': 494, 'center_y': 859}
{'crystal': 201, 'rot': 1, 'center_x': 854, 'center_y': 869}
{'crystal': 202, 'rot': 1, 'center_x': 553, 'center_y': 447}
{'crystal': 203, 'rot': 1, 'center_x': 682, 'center_y': 1172}
{'crystal': 204, 'rot': 1, 'center_x': 789, 'center_y': 469}
{'crystal': 205, 'rot': 1, 'center_x': 718, 'center_y': 781}
{'crystal': 206, 'rot': 1, 'center_x': 888, 'center_y': 818}
{'crystal': 207, 'rot': 1, 'center_x': 899, 'center_y': 827}
{'crystal': 208, 'rot': 1, 'center_x': 569, 'center_y': 637}
{'crystal': 209, 'rot': 1, 'center_x': 839, 'center_y': 543}
{'crystal': 210, 'rot': 1, 'center_x': 481, 'center_y': 717}
{'crystal': 211, 'rot': 1, 'center_x': 731, 'center_y': 1032}
{'crystal': 212, 'rot': 1, 'center_x': 824, 'center_y': 972}
{'crystal': 213, 'rot': 1, 'center_x': 996, 'center_y': 1203}
{'crystal': 214, 'rot': 1, 'center_x': 855, 'center_y': 462}
{'crystal': 215, 'rot': 1, 'center_x': 927, 'center_y': 1063}
{'crystal': 216, 'rot': 1, 'center_x': 706, 'center_y': 861}
{'crystal': 217, 'rot': 1, 'center_x': 653, 'center_y': 1013}
{'crystal': 218, 'rot': 1, 'center_x': 842, 'center_y': 876}
{'crystal': 219, 'rot': 1, 'center_x': 918, 'center_y': 1162}
{'crystal': 220, 'rot': 1, 'center_x': 673, 'center_y': 775}
{'crystal': 221, 'rot': 1, 'center_x': 767, 'center_y': 670}
{'crystal': 222, 'rot': 1, 'center_x': 661, 'center_y': 1013}
{'crystal': 223, 'rot': 1, 'center_x': 909, 'center_y': 585}
{'crystal': 224, 'rot': 1, 'center_x': 843, 'center_y': 1110}
{'crystal': 225, 'rot': 1, 'center_x': 653, 'center_y': 632}
{'crystal': 226, 'rot': 1, 'center_x': 447, 'center_y': 1198}
{'crystal': 227, 'rot': 1, 'center_x': 882, 'center_y': 925}
{'crystal': 228, 'rot': 1, 'center_x': 606, 'center_y': 530}
{'crystal': 229, 'rot': 1, 'center_x': 591, 'center_y': 1031}
