g, r, t, l, id
2, 0.4, 0.1, 1.0, 230
2, 0.4, 0.2, 0.0, 231
2, 0.4, 0.2, 0.1, 232
2, 0.4, 0.2, 0.2, 233
2, 0.4, 0.2, 0.3, 234
2, 0.4, 0.2, 0.4, 235
2, 0.4, 0.2, 0.5, 236
2, 0.4, 0.2, 0.6, 237
2, 0.4, 0.2, 0.7, 238
2, 0.4, 0.2, 0.8, 239
2, 0.4, 0.2, 0.9, 240
2, 0.4, 0.2, 1.0, 241
2, 0.4, 0.3, 0.0, 242
2, 0.4, 0.3, 0.1, 243
2, 0.4, 0.3, 0.2, 244
2, 0.4, 0.3, 0.3, 245
2, 0.4, 0.3, 0.4, 246
2, 0.4, 0.3, 0.5, 247
2, 0.4, 0.3, 0.6, 248
2, 0.4, 0.3, 0.7, 249
2, 0.4, 0.3, 0.8, 250
2, 0.4, 0.3, 0.9, 251
2, 0.4, 0.3, 1.0, 252
2, 0.4, 0.4, 0.0, 253
2, 0.4, 0.4, 0.1, 254
2, 0.4, 0.4, 0.2, 255
2, 0.4, 0.4, 0.3, 256
2, 0.4, 0.4, 0.4, 257
2, 0.4, 0.4, 0.5, 258
2, 0.4, 0.4, 0.6, 259
2, 0.4, 0.4, 0.7, 260
2, 0.4, 0.4, 0.8, 261
2, 0.4, 0.4, 0.9, 262
2, 0.4, 0.4, 1.0, 263
2, 0.4, 0.5, 0.0, 264
2, 0.4, 0.5, 0.1, 265
2, 0.4, 0.5, 0.2, 266
2, 0.4, 0.5, 0.3, 267
2, 0.4, 0.5, 0.4, 268
2, 0.4, 0.5, 0.5, 269
2, 0.4, 0.5, 0.6, 270
2, 0.4, 0.5, 0.7, 271
2, 0.4, 0.5, 0.8, 272
2, 0.4, 0.5, 0.9, 273
2, 0.4, 0.5, 1.0, 274
2, 0.4, 0.6, 0.0, 275
2, 0.4, 0.6, 0.1, 276
2, 0.4, 0.6, 0.2, 277
2, 0.4, 0.6, 0.3, 278
2, 0.4, 0.6, 0.4, 279
2, 0.4, 0.6, 0.5, 280
2, 0.4, 0.6, 0.6, 281
2, 0.4, 0.6, 0.7, 282
2, 0.4, 0.6, 0.8, 283
2, 0.4, 0.6, 0.9, 284
2, 0.4, 0.6, 1.0, 285
2, 0.4, 0.7, 0.0, 286
2, 0.4, 0.7, 0.1, 287
2, 0.4, 0.7, 0.2, 288
2, 0.4, 0.7, 0.3, 289
2, 0.4, 0.7, 0.4, 290
2, 0.4, 0.7, 0.5, 291
2, 0.4, 0.7, 0.6, 292
2, 0.4, 0.7, 0.7, 293
2, 0.4, 0.7, 0.8, 294
2, 0.4, 0.7, 0.9, 295
2, 0.4, 0.7, 1.0, 296
2, 0.4, 0.8, 0.0, 297
2, 0.4, 0.8, 0.1, 298
2, 0.4, 0.8, 0.2, 299
2, 0.4, 0.8, 0.3, 300
2, 0.4, 0.8, 0.4, 301
2, 0.4, 0.8, 0.5, 302
2, 0.4, 0.8, 0.6, 303
2, 0.4, 0.8, 0.7, 304
2, 0.4, 0.8, 0.8, 305
2, 0.4, 0.8, 0.9, 306
2, 0.4, 0.8, 1.0, 307
2, 0.4, 0.9, 0.0, 308
2, 0.4, 0.9, 0.1, 309
2, 0.4, 0.9, 0.2, 310
2, 0.4, 0.9, 0.3, 311
2, 0.4, 0.9, 0.4, 312
2, 0.4, 0.9, 0.5, 313
2, 0.4, 0.9, 0.6, 314
2, 0.4, 0.9, 0.7, 315
2, 0.4, 0.9, 0.8, 316
2, 0.4, 0.9, 0.9, 317
2, 0.4, 0.9, 1.0, 318
2, 0.4, 1.0, 0.0, 319
2, 0.4, 1.0, 0.1, 320
2, 0.4, 1.0, 0.2, 321
2, 0.4, 1.0, 0.3, 322
2, 0.4, 1.0, 0.4, 323
2, 0.4, 1.0, 0.5, 324
2, 0.4, 1.0, 0.6, 325
2, 0.4, 1.0, 0.7, 326
2, 0.4, 1.0, 0.8, 327
2, 0.4, 1.0, 0.9, 328
2, 0.4, 1.0, 1.0, 329
2, 0.5, 0.1, 0.0, 330
2, 0.5, 0.1, 0.1, 331
2, 0.5, 0.1, 0.2, 332
2, 0.5, 0.1, 0.3, 333
2, 0.5, 0.1, 0.4, 334
2, 0.5, 0.1, 0.5, 335
2, 0.5, 0.1, 0.6, 336
2, 0.5, 0.1, 0.7, 337
2, 0.5, 0.1, 0.8, 338
2, 0.5, 0.1, 0.9, 339
2, 0.5, 0.1, 1.0, 340
2, 0.5, 0.2, 0.0, 341
2, 0.5, 0.2, 0.1, 342
2, 0.5, 0.2, 0.2, 343
2, 0.5, 0.2, 0.3, 344
2, 0.5, 0.2, 0.4, 345
2, 0.5, 0.2, 0.5, 346
2, 0.5, 0.2, 0.6, 347
2, 0.5, 0.2, 0.7, 348
2, 0.5, 0.2, 0.8, 349
2, 0.5, 0.2, 0.9, 350
2, 0.5, 0.2, 1.0, 351
2, 0.5, 0.3, 0.0, 352
2, 0.5, 0.3, 0.1, 353
2, 0.5, 0.3, 0.2, 354
2, 0.5, 0.3, 0.3, 355
2, 0.5, 0.3, 0.4, 356
2, 0.5, 0.3, 0.5, 357
2, 0.5, 0.3, 0.6, 358
2, 0.5, 0.3, 0.7, 359
2, 0.5, 0.3, 0.8, 360
2, 0.5, 0.3, 0.9, 361
2, 0.5, 0.3, 1.0, 362
2, 0.5, 0.4, 0.0, 363
2, 0.5, 0.4, 0.1, 364
2, 0.5, 0.4, 0.2, 365
2, 0.5, 0.4, 0.3, 366
2, 0.5, 0.4, 0.4, 367
2, 0.5, 0.4, 0.5, 368
2, 0.5, 0.4, 0.6, 369
2, 0.5, 0.4, 0.7, 370
2, 0.5, 0.4, 0.8, 371
2, 0.5, 0.4, 0.9, 372
2, 0.5, 0.4, 1.0, 373
2, 0.5, 0.5, 0.0, 374
2, 0.5, 0.5, 0.1, 375
2, 0.5, 0.5, 0.2, 376
2, 0.5, 0.5, 0.3, 377
2, 0.5, 0.5, 0.4, 378
2, 0.5, 0.5, 0.5, 379
2, 0.5, 0.5, 0.6, 380
2, 0.5, 0.5, 0.7, 381
2, 0.5, 0.5, 0.8, 382
2, 0.5, 0.5, 0.9, 383
2, 0.5, 0.5, 1.0, 384
2, 0.5, 0.6, 0.0, 385
2, 0.5, 0.6, 0.1, 386
2, 0.5, 0.6, 0.2, 387
2, 0.5, 0.6, 0.3, 388
2, 0.5, 0.6, 0.4, 389
2, 0.5, 0.6, 0.5, 390
2, 0.5, 0.6, 0.6, 391
2, 0.5, 0.6, 0.7, 392
2, 0.5, 0.6, 0.8, 393
2, 0.5, 0.6, 0.9, 394
2, 0.5, 0.6, 1.0, 395
2, 0.5, 0.7, 0.0, 396
2, 0.5, 0.7, 0.1, 397
2, 0.5, 0.7, 0.2, 398
2, 0.5, 0.7, 0.3, 399
2, 0.5, 0.7, 0.4, 400
2, 0.5, 0.7, 0.5, 401
2, 0.5, 0.7, 0.6, 402
2, 0.5, 0.7, 0.7, 403
2, 0.5, 0.7, 0.8, 404
2, 0.5, 0.7, 0.9, 405
2, 0.5, 0.7, 1.0, 406
2, 0.5, 0.8, 0.0, 407
2, 0.5, 0.8, 0.1, 408
2, 0.5, 0.8, 0.2, 409
2, 0.5, 0.8, 0.3, 410
2, 0.5, 0.8, 0.4, 411
2, 0.5, 0.8, 0.5, 412
2, 0.5, 0.8, 0.6, 413
2, 0.5, 0.8, 0.7, 414
2, 0.5, 0.8, 0.8, 415
2, 0.5, 0.8, 0.9, 416
2, 0.5, 0.8, 1.0, 417
2, 0.5, 0.9, 0.0, 418
2, 0.5, 0.9, 0.1, 419
2, 0.5, 0.9, 0.2, 420
2, 0.5, 0.9, 0.3, 421
2, 0.5, 0.9, 0.4, 422
2, 0.5, 0.9, 0.5, 423
2, 0.5, 0.9, 0.6, 424
2, 0.5, 0.9, 0.7, 425
2, 0.5, 0.9, 0.8, 426
2, 0.5, 0.9, 0.9, 427
2, 0.5, 0.9, 1.0, 428
2, 0.5, 1.0, 0.0, 429
2, 0.5, 1.0, 0.1, 430
2, 0.5, 1.0, 0.2, 431
2, 0.5, 1.0, 0.3, 432
2, 0.5, 1.0, 0.4, 433
2, 0.5, 1.0, 0.5, 434
2, 0.5, 1.0, 0.6, 435
2, 0.5, 1.0, 0.7, 436
2, 0.5, 1.0, 0.8, 437
2, 0.5, 1.0, 0.9, 438
2, 0.5, 1.0, 1.0, 439
2, 0.6, 0.1, 0.0, 440
2, 0.6, 0.1, 0.1, 441
2, 0.6, 0.1, 0.2, 442
2, 0.6, 0.1, 0.3, 443
2, 0.6, 0.1, 0.4, 444
2, 0.6, 0.1, 0.5, 445
2, 0.6, 0.1, 0.6, 446
2, 0.6, 0.1, 0.7, 447
2, 0.6, 0.1, 0.8, 448
2, 0.6, 0.1, 0.9, 449
2, 0.6, 0.1, 1.0, 450
2, 0.6, 0.2, 0.0, 451
2, 0.6, 0.2, 0.1, 452
2, 0.6, 0.2, 0.2, 453
2, 0.6, 0.2, 0.3, 454
2, 0.6, 0.2, 0.4, 455
2, 0.6, 0.2, 0.5, 456
2, 0.6, 0.2, 0.6, 457
2, 0.6, 0.2, 0.7, 458
2, 0.6, 0.2, 0.8, 459
2, 0.6, 0.2, 0.9, 460
2, 0.6, 0.2, 1.0, 461
2, 0.6, 0.3, 0.0, 462
2, 0.6, 0.3, 0.1, 463
2, 0.6, 0.3, 0.2, 464
2, 0.6, 0.3, 0.3, 465
2, 0.6, 0.3, 0.4, 466
2, 0.6, 0.3, 0.5, 467
2, 0.6, 0.3, 0.6, 468
2, 0.6, 0.3, 0.7, 469
2, 0.6, 0.3, 0.8, 470
2, 0.6, 0.3, 0.9, 471
2, 0.6, 0.3, 1.0, 472
2, 0.6, 0.4, 0.0, 473
2, 0.6, 0.4, 0.1, 474
2, 0.6, 0.4, 0.2, 475
2, 0.6, 0.4, 0.3, 476
2, 0.6, 0.4, 0.4, 477
2, 0.6, 0.4, 0.5, 478
2, 0.6, 0.4, 0.6, 479
2, 0.6, 0.4, 0.7, 480
2, 0.6, 0.4, 0.8, 481
2, 0.6, 0.4, 0.9, 482
2, 0.6, 0.4, 1.0, 483
2, 0.6, 0.5, 0.0, 484
2, 0.6, 0.5, 0.1, 485
2, 0.6, 0.5, 0.2, 486
2, 0.6, 0.5, 0.3, 487
2, 0.6, 0.5, 0.4, 488
2, 0.6, 0.5, 0.5, 489
2, 0.6, 0.5, 0.6, 490
2, 0.6, 0.5, 0.7, 491
2, 0.6, 0.5, 0.8, 492
2, 0.6, 0.5, 0.9, 493
2, 0.6, 0.5, 1.0, 494
2, 0.6, 0.6, 0.0, 495
2, 0.6, 0.6, 0.1, 496
2, 0.6, 0.6, 0.2, 497
2, 0.6, 0.6, 0.3, 498
2, 0.6, 0.6, 0.4, 499
2, 0.6, 0.6, 0.5, 500
2, 0.6, 0.6, 0.6, 501
2, 0.6, 0.6, 0.7, 502
2, 0.6, 0.6, 0.8, 503
2, 0.6, 0.6, 0.9, 504
2, 0.6, 0.6, 1.0, 505
2, 0.6, 0.7, 0.0, 506
2, 0.6, 0.7, 0.1, 507
2, 0.6, 0.7, 0.2, 508
2, 0.6, 0.7, 0.3, 509
2, 0.6, 0.7, 0.4, 510
2, 0.6, 0.7, 0.5, 511
2, 0.6, 0.7, 0.6, 512
2, 0.6, 0.7, 0.7, 513
2, 0.6, 0.7, 0.8, 514
2, 0.6, 0.7, 0.9, 515
2, 0.6, 0.7, 1.0, 516
2, 0.6, 0.8, 0.0, 517
2, 0.6, 0.8, 0.1, 518
2, 0.6, 0.8, 0.2, 519
2, 0.6, 0.8, 0.3, 520
2, 0.6, 0.8, 0.4, 521
2, 0.6, 0.8, 0.5, 522
2, 0.6, 0.8, 0.6, 523
2, 0.6, 0.8, 0.7, 524
2, 0.6, 0.8, 0.8, 525
2, 0.6, 0.8, 0.9, 526
2, 0.6, 0.8, 1.0, 527
2, 0.6, 0.9, 0.0, 528
2, 0.6, 0.9, 0.1, 529
2, 0.6, 0.9, 0.2, 530
2, 0.6, 0.9, 0.3, 531
2, 0.6, 0.9, 0.4, 532
2, 0.6, 0.9, 0.5, 533
2, 0.6, 0.9, 0.6, 534
2, 0.6, 0.9, 0.7, 535
2, 0.6, 0.9, 0.8, 536
2, 0.6, 0.9, 0.9, 537
2, 0.6, 0.9, 1.0, 538
2, 0.6, 1.0, 0.0, 539
2, 0.6, 1.0, 0.1, 540
2, 0.6, 1.0, 0.2, 541
2, 0.6, 1.0, 0.3, 542
2, 0.6, 1.0, 0.4, 543
2, 0.6, 1.0, 0.5, 544
2, 0.6, 1.0, 0.6, 545
2, 0.6, 1.0, 0.7, 546
2, 0.6, 1.0, 0.8, 547
2, 0.6, 1.0, 0.9, 548
2, 0.6, 1.0, 1.0, 549
2, 0.7, 0.1, 0.0, 550
2, 0.7, 0.1, 0.1, 551
2, 0.7, 0.1, 0.2, 552
2, 0.7, 0.1, 0.3, 553
2, 0.7, 0.1, 0.4, 554
2, 0.7, 0.1, 0.5, 555
2, 0.7, 0.1, 0.6, 556
2, 0.7, 0.1, 0.7, 557
2, 0.7, 0.1, 0.8, 558
2, 0.7, 0.1, 0.9, 559
2, 0.7, 0.1, 1.0, 560
2, 0.7, 0.2, 0.0, 561
2, 0.7, 0.2, 0.1, 562
2, 0.7, 0.2, 0.2, 563
2, 0.7, 0.2, 0.3, 564
2, 0.7, 0.2, 0.4, 565
2, 0.7, 0.2, 0.5, 566
2, 0.7, 0.2, 0.6, 567
2, 0.7, 0.2, 0.7, 568
2, 0.7, 0.2, 0.8, 569
2, 0.7, 0.2, 0.9, 570
2, 0.7, 0.2, 1.0, 571
2, 0.7, 0.3, 0.0, 572
2, 0.7, 0.3, 0.1, 573
2, 0.7, 0.3, 0.2, 574
2, 0.7, 0.3, 0.3, 575
2, 0.7, 0.3, 0.4, 576
2, 0.7, 0.3, 0.5, 577
2, 0.7, 0.3, 0.6, 578
2, 0.7, 0.3, 0.7, 579
2, 0.7, 0.3, 0.8, 580
2, 0.7, 0.3, 0.9, 581
2, 0.7, 0.3, 1.0, 582
2, 0.7, 0.4, 0.0, 583
2, 0.7, 0.4, 0.1, 584
2, 0.7, 0.4, 0.2, 585
2, 0.7, 0.4, 0.3, 586
2, 0.7, 0.4, 0.4, 587
2, 0.7, 0.4, 0.5, 588
2, 0.7, 0.4, 0.6, 589
2, 0.7, 0.4, 0.7, 590
2, 0.7, 0.4, 0.8, 591
2, 0.7, 0.4, 0.9, 592
2, 0.7, 0.4, 1.0, 593
2, 0.7, 0.5, 0.0, 594
2, 0.7, 0.5, 0.1, 595
2, 0.7, 0.5, 0.2, 596
2, 0.7, 0.5, 0.3, 597
2, 0.7, 0.5, 0.4, 598
2, 0.7, 0.5, 0.5, 599
2, 0.7, 0.5, 0.6, 600
2, 0.7, 0.5, 0.7, 601
2, 0.7, 0.5, 0.8, 602
2, 0.7, 0.5, 0.9, 603
2, 0.7, 0.5, 1.0, 604
2, 0.7, 0.6, 0.0, 605
